European ETF Statistics ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Februar 2009,,,,,
,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,
,,02/2009,01/2009,Change (%),Market Share
db x-trackers SLI ETF,LU0322248146,0.39668852000000004,1.18850624,-0.6662293333857464,1.837310082909046e-05
db x-trackers SMI ETF,LU0274221281,10.115380235,20.369014510000003,-0.5033937341429093,0.0004685058720182871
EasyETF EPRA Eurozone,LU0192223062,0.061915375,0.514370905,-0.8796289323557288,2.867684267106965e-06
EasyETF GS Ultra-Light Energy,LU0246046329,0.09583219999999999,2.9805267,-0.9678472264650405,4.438582375092585e-06
EasyETF GSAL,LU0252701189,9.600812150000001,4.329712607,1.2174248088609918,0.00044467303886965714
EasyETF GSCI,LU0203243414,8.328744952,17.847822585,-0.5333467198962523,0.00038575573294350477
EasyETF GSNE,LU0230484932,3.26910533,3.61512943,-0.09571554952598205,0.00015141250331370071
EasyETF iTraxx Crossover,LU0281436138,0,0.0463478,-1,0
EasyETF iTraxx Europe HiVol,LU0281436302,1.4909947,0.07953980000000001,17.74526589204398,6.90571936862188e-05
EasyETF NMX Infrastructure Europe,LU0315455286,0.05373421,0.10279722,-0.4772795412171652,2.4887638752478157e-06
EasyETF NMX30 Infrastructure Global,LU0315440411,0.48403078000000005,1.1864800500000001,-0.5920447377096648,2.241846153078315e-05
EasyETF S&P GSCI Light Energy Dynamic TR,LU0309198074,0.43480102000000004,4.91776756,-0.9115856911301436,2.013832661719421e-05
ETFlab DAX,DE000ETFL011,32.97365405,62.932944049999996,-0.4760509849371968,0.0015272140231438937
ETFlab DAX Preisindex,DE000ETFL060,0.89681054,3.13124278,-0.7135927799249089,4.153684728766807e-05
ETFlab DJ EURO STOXX 50,DE000ETFL029,31.619581366000002,51.156269200000004,-0.3819021234253729,0.0014644985355541618
ETFlab DJ EURO STOXX Select Dividend 30,DE000ETFL078,0.51903113,0.73256029,-0.29148339449303207,2.4039544388445518e-05
ETFlab DJ STOXX Strong Growth 20,DE000ETFL037,0.00024765000000000003,0.00025564,-0.031254889688624554,1.1470204432243848e-08
ETFlab DJ STOXX Strong Style Composite 40,DE000ETFL052,0.9206557,0.27513565999999995,2.3461882040299686,4.26412642467618e-05
ETFlab DJ STOXX Strong Value 20,DE000ETFL045,0.00210116,0.0647927,-0.967571038095341,9.731772560005443e-08
ETFlab MSCI Europe LC,DE000ETFL086,0.008214780000000001,5.98790527,-0.9986281045491556,3.8047731058311375e-07
ETFlab MSCI Japan LC,DE000ETFL102,0.01982888,0.25403654000000003,-0.9219447721969446,9.183981718652589e-07
ETFlab MSCI USA LC,DE000ETFL094,2.35359322,5.41559558,-0.5654045459576211,0.00010900947055821953
ETFS DAXglobal Alternative Energy Fund,DE000A0Q8M94,0.041611730000000006,0.23719259,-0.8245656409418186,1.9272967893371063e-06
ETFS Janney Global Water Fund,DE000A0Q8M86,0.30908199,0.34836646000000004,-0.11276765851683901,1.431550014788915e-05
ETFS Russell 1000 Fund,DE000A0Q8ND6,0.03346949,0.11679147,-0.7134252184684378,1.5501792551703657e-06
ETFS Russell 2000 Fund,DE000A0Q8NE4,0.11884466,0.0014125,83.13781238938054,5.504431842844794e-06
ETFS S-Net ITG Global Agri Business Fund,DE000A0Q8NA2,0.23225184,0.06578156,2.5306526631475443,1.0757020329355092e-05
ETFS WNA Global Nuclear Energy Fund,DE000A0Q8M37,0.01393976,0.23991766,-0.9418977327471433,6.456365715179305e-07
iShares $ Corporate Bond,DE000A0DPYY0,0.7161945799999999,1.225275455,-0.4154827985189665,3.3171404182778194e-05
iShares $ TIPS,DE000A0LGQF7,0.7432508689999999,3.51681933,-0.7886582166278073,3.442454840247482e-05
iShares $ Treasury Bond 1-3,DE000A0J2078,21.54643948,28.98679696,-0.25668091201201826,0.0009979489829298196
iShares $ Treasury Bond 7-10,DE000A0LGQB6,12.924614876,9.1513555,0.4123169923843524,0.0005986189171643042
iShares € Corporate Bond,DE0002511243,68.677341387,63.250064788,0.08580665675507215,0.003180872786480481
iShares € Government Bond 1-3,DE000A0J21A7,62.9997559,9.757308645,5.4566734734053295,0.0029179086588106617
iShares € Government Bond 15-30,DE000A0LGQC4,8.24866333,12.53461115,-0.3419290609585445,0.00038204665733031814
iShares € Government Bond 3-5,DE000A0LGQD2,37.83282552,7.01925836,4.389860805750424,0.0017522723317739233
iShares € Government Bond 7-10,DE000A0LGQH3,43.21829696,31.755370673,0.3609759874963876,0.0020017068497662945
iShares € Inflation Linked Bond,DE000A0HG2S8,7.742582855,6.737893122,0.14911036948917644,0.0003586069379383655
iShares ATX (DE),DE000A0D8Q23,4.2022170690000005,2.2427427119999996,0.873695563256389,0.00019463068382836484
iShares DAX (DE),DE0005933931,1144.588526612,1102.424918646,0.038246239950549654,0.053012979572139775
iShares DivDAX (DE),DE0002635273,20.179441748,16.716562019999998,0.2071526264704997,0.0009346348563622698
iShares DJ Asia/Pacific Select Dividend,DE000A0J2086,0.18908628,0.49736771999999996,-0.6198259911198096,8.757756054643655e-06
iShares DJ Asia/Pacific Select Dividend 30 (DE),DE000A0H0744,0.288526554,2.1861635219999997,-0.8680215129854316,1.3363450670344614e-05
iShares DJ China Offshore 50 (DE),DE000A0F5UE8,2.584687485,2.08564151,0.23927696711406554,0.00011971287642403473
iShares DJ EURO STOXX (DE),DE000A0D8Q07,18.654859259,21.576682673,-0.13541578463570902,0.0008640220042619299
iShares DJ EURO STOXX 50,IE0008471009,491.939742142,441.704031103,0.11373161099198947,0.02278477452337599
iShares DJ EURO STOXX 50 (DE),DE0005933956,596.8068978719999,741.7584593830001,-0.19541612188902013,0.027641821623925356
ishares DJ EURO STOXX Banks (DE),DE0006289309,13.13123954,14.300167697000001,-0.08174226916550276,0.0006081889843430796
iShares DJ EURO STOXX Growth,DE000A0HG3L1,1.05229952,3.8892221499999997,-0.7294318813853304,4.873850441490843e-05
iShares DJ EURO STOXX Healthcare (DE),DE0006289333,0.28224828,0.46971854100000004,-0.3991119034834948,1.3072664939427427e-05
iShares DJ EURO STOXX MidCap,DE000A0DPMX7,2.91368129,5.961197820000001,-0.5112255325222541,0.00013495061597699966
iShares DJ EURO STOXX Select Dividend,DE000A0HG2P4,2.813953803,3.46888438,-0.18880150078683222,0.0001303316187494449
iShares DJ EURO STOXX Select Dividend 30 (DE),DE0002635281,6.544273528,13.928814233999999,-0.5301629113535351,0.00030310581557311395
iShares DJ EURO STOXX SmallCap,DE000A0DPMZ2,1.5942039,2.5249510699999997,-0.36861988379046096,7.38374505943082e-05
iShares DJ EURO STOXX Sustainability 40 (DE),DE000A0F5UG3,2.31011945,2.5216540899999997,-0.0838872551310158,0.00010699593117061466
iShares DJ EURO STOXX Technology (DE),DE0006289325,1.2599596599999998,2.40296511,-0.47566460505121533,5.835653089675125e-05
iShares DJ EURO STOXX Telecommunication (DE),DE0006289317,1.3778883,2.47322805,-0.4428785893803848,6.381853618331088e-05
iShares DJ EURO STOXX Value,DE000A0HG2N9,2.76945139,6.3146356500000005,-0.5614234069070954,0.00012827043653729813
iShares DJ Global Titans 50 (DE),DE0006289382,0.419411169,0.640220136,-0.34489537986040486,1.942552735552745e-05
iShares DJ Industrial Average (DE),DE0006289390,17.238561213,13.833129162,0.2461794443700287,0.0007984244749883281
iShares DJ STOXX 50,IE0008470928,135.351274833,78.206940897,0.7306811042674608,0.006268955350290053
iShares DJ STOXX 50 (DE),DE0005933949,82.9051928,80.764864722,0.026500732532236615,0.0038398526545955604
