XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Monthly turnover report: October 2009,,,,,,,
,,,,,,,
,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,,XLM,AuM
,,10/2009,09/2009,Change (%),Market Share,"€ 100,000 round trip",in €m
db x-trackers DJ STOXX 600 Technology Short ETF,LU0322250043,3.20909617,0.995226485,2.2244883133310105,0.00022106657223038194,31.432,5.4659845
db x-trackers DJ STOXX 600 Telecommunications ETF,LU0292104030,5.5714941940000005,8.145691725999999,-0.3160195129633364,0.000383806236529538,20.0193636364,62.209508
db x-trackers DJ STOXX 600 Telecommunications Short ETF,LU0322250126,1.55670499,0.88543731,0.758119939626217,0.00010723749550741291,24.2301363636,2.10081325
db x-trackers DJ STOXX 600 Utilities ETF,LU0292104899,3.273691131,1.960274622,0.6700165855638975,0.000225516356797488,28.3655454545,32.834742
db x-trackers DJ STOXX 600 Utilities Short Daily ETF,LU0412624867,0.3644217,0.040247,8.054630158769598,2.510409529589404e-05,35.9756818182,1.932126125
db x-trackers DJ STOXX Global Select Dividend 100 ETF,LU0292096186,14.789613851,25.6215007,-0.42276551150651365,0.001018819338982773,28.9829090909,136.337968
db x-trackers FTSE 100 ETF,LU0292097234,42.114437130000006,6.28494759,5.700841419427016,0.002901157760485883,31.7275454545,276.97786894383626
db x-trackers FTSE 100 Short ETF,LU0328473581,18.96845073,11.76073015,0.6128633586580507,0.0013066889121624503,28.8524090909,104.24748612071079
db x-trackers FTSE 250 ETF,LU0292097317,7.0889774,0.7574551500000001,8.358940129986573,0.0004883418418827395,25.8857727273,14.929386189828543
db x-trackers FTSE All-Share ETF,LU0292097747,9.64419476,0.8700704499999999,10.084383753062754,0.0006643643457763407,34.1047727273,109.41008227241309
db x-trackers FTSE Vietnam ETF,LU0322252924,4.808172834,8.487196595,-0.43347926724914054,0.00033122294589994197,95.0674090909,127.5736973907424
db x-trackers FTSE/XINHUA China 25 ETF,LU0292109856,37.967534303,35.52496586,0.06875639100191933,0.002615488043913515,32.1855454545,238.62343215660934
db x-trackers HSI Short Daily Index ETF,LU0429790313,0.29709781,0.13470996,1.2054628328892685,2.0466321666468876e-05,50.9065,1.876192880415758
db x-trackers II € Interest Rate Volatility TRI ETF,LU0378818644,0,0,,0,36.4295,14.861008
db x-trackers II € Interest Rates Volatility Short TRI ETF,LU0378818727,0,1.25237297,-1,0,36.0742272727,20.215366
db x-trackers II Emerging Markets Liquid Eurobond Index ETF,LU0321462953,8.009754245,4.178029205,0.917113033919063,0.0005517718452638024,123.5331818182,67.524624
