date,smb,hml
15/09/2009,0.005600,0.005500
16/09/2009,0.003800,0.013000
17/09/2009,-0.000300,-0.002700
18/09/2009,0.001300,-0.001700
21/09/2009,-0.001600,-0.006400
22/09/2009,-0.000800,0.014900
23/09/2009,0.001400,-0.009100
24/09/2009,-0.006100,-0.013300
25/09/2009,0.001900,-0.005200
28/09/2009,0.003500,0.011000
29/09/2009,-0.000500,0.003700
30/09/2009,-0.005700,-0.006300
01/10/2009,-0.005900,-0.013800
02/10/2009,-0.003000,-0.001300
05/10/2009,0.000500,0.018100
06/10/2009,0.005400,0.002400
07/10/2009,-0.003800,0.005800
08/10/2009,0.002600,0.003800
09/10/2009,0.006100,-0.002200
12/10/2009,-0.005300,0.003200
13/10/2009,0.001200,-0.001600
14/10/2009,0.000300,0.011700
15/10/2009,-0.002300,-0.004600
16/10/2009,0.000200,-0.012500
19/10/2009,0.000600,0.000100
20/10/2009,-0.007400,-0.005500
21/10/2009,-0.000700,-0.005600
22/10/2009,0.000400,0.006400
23/10/2009,-0.008100,-0.010200
26/10/2009,0.000200,-0.013500
27/10/2009,-0.006200,-0.006100
28/10/2009,-0.014700,-0.013500
29/10/2009,-0.002800,0.016700
30/10/2009,-0.000600,-0.019200
02/11/2009,-0.008000,-0.003200
03/11/2009,0.010300,0.007400
04/11/2009,-0.010300,-0.005100
05/11/2009,0.011700,0.006500
06/11/2009,-0.002500,-0.004900
09/11/2009,-0.004300,0.013600
10/11/2009,-0.008100,-0.000700
11/11/2009,0.003200,0.003200
12/11/2009,-0.008800,-0.007600
13/11/2009,0.003500,-0.000500
16/11/2009,0.013100,0.001500
17/11/2009,-0.002100,-0.000600
18/11/2009,-0.004700,0.004400
19/11/2009,-0.007700,-0.006000
20/11/2009,0.002200,-0.004400
23/11/2009,0.004100,-0.001000
24/11/2009,-0.001000,-0.004700
25/11/2009,-0.004300,0.001100
27/11/2009,-0.005400,-0.008000
30/11/2009,-0.003800,0.007400
01/12/2009,0.006200,-0.003000
02/12/2009,0.010400,-0.003500
03/12/2009,-0.002700,-0.003100
04/12/2009,0.015600,0.007700
07/12/2009,0.005300,-0.002700
08/12/2009,0.000600,-0.001300
09/12/2009,-0.001900,-0.000200
10/12/2009,-0.009700,-0.001000
11/12/2009,0.002700,0.004900
14/12/2009,0.006400,0.003200
15/12/2009,0.002800,-0.006100
16/12/2009,0.004200,0.007100
17/12/2009,0.002300,-0.003500
18/12/2009,0.002400,0.001900
21/12/2009,0.001500,0.003100
22/12/2009,0.005800,-0.001100
23/12/2009,0.009100,-0.004000
24/12/2009,-0.000900,0.001900
28/12/2009,-0.001000,-0.002900
29/12/2009,0.001100,-0.000800
30/12/2009,-0.000500,-0.001000
31/12/2009,-0.002100,0.003900
04/01/2010,0.006100,0.011300
05/01/2010,-0.006400,0.012400
06/01/2010,-0.002200,0.005700
07/01/2010,0.000900,0.009800
08/01/2010,0.003700,0.000100
11/01/2010,-0.001300,-0.002500
12/01/2010,-0.001700,-0.012800
13/01/2010,0.002700,0.003300
14/01/2010,0.002800,0.000800
15/01/2010,-0.001200,-0.003900
19/01/2010,0.004600,-0.002100
20/01/2010,-0.006000,0.002400
21/01/2010,0.004100,-0.011200
22/01/2010,0.006200,-0.008900
25/01/2010,-0.002100,0.003300
26/01/2010,-0.001000,-0.004800
27/01/2010,0.002300,0.002200
28/01/2010,-0.006800,0.004300
29/01/2010,-0.000400,-0.004200
01/02/2010,-0.002100,0.008800
02/02/2010,-0.004000,0.006400
03/02/2010,0.000600,-0.003700
04/02/2010,-0.001300,-0.011700
